Site,Reporting period,Males tested,Females non-pregnant,Females pregnant,Children below 12 mths (Age group A),Children 12 mths - 14 yrs (Age group B),Young adults 15-24 years (Age group C),Older adults 25+ yrs (Age group D),PITC,Family Referral Slip (FRS),"Other (VCT, etc_) HTC access",Never tested before,Last negative,Last positive,Last exposed infant,Last inconclusive,Counseled with partner / partner present,Counseled alone / Partner not present,Single test negative,Single test positive,Test 1&2 negative,Test 1&2 positive,Test 1&2 discordant,New negative,New positive,New exposed infants,New inconclusive,Confirmatory positive,Confirmatory inconclusive
Liuzi Health Centre,201706,73,31,26,0,4,53,73,108,0,22,27,89,13,1,0,51,79,106,0,0,24,0,106,10,0,0,14,0
Chisala Health Centre,201704,12,15,20,0,1,15,31,26,0,21,13,30,4,0,0,11,36,40,0,0,6,1,40,2,0,1,4,0
Chisala Health Centre,201705,16,25,19,0,7,23,30,27,0,33,19,41,0,0,0,6,54,60,0,0,0,0,58,0,2,0,0,0
Chisala Health Centre,201706,17,22,34,0,6,26,41,48,0,25,20,47,6,0,0,8,65,63,0,0,10,0,63,4,0,0,6,0
Chilambwe Health Centre,201704,8,16,25,0,2,23,24,46,0,3,14,32,2,1,0,6,43,47,0,0,2,0,47,0,0,0,2,0
Chilambwe Health Centre,201705,32,24,23,0,4,45,30,38,0,41,15,61,2,1,0,6,73,75,0,0,4,0,75,2,0,0,2,0
Chilambwe Health Centre,201706,25,22,19,0,10,34,22,28,1,37,12,51,2,1,0,0,66,62,0,0,3,1,62,1,0,1,2,0
Nthungwa Health Centre,201704,9,4,12,0,1,15,9,10,0,15,10,15,0,0,0,10,15,22,0,0,3,0,22,3,0,0,0,0
Nthungwa Health Centre,201705,14,16,28,0,3,26,29,16,0,42,6,50,2,0,0,5,53,53,0,0,5,0,53,3,0,0,2,0
Nthungwa Health Centre,201706,14,9,14,0,1,12,24,2,0,35,8,28,1,0,0,5,32,34,0,0,3,0,34,2,0,0,1,0
Luwazi Health Centre,201704,23,12,5,0,1,16,23,9,0,31,7,31,2,0,0,10,30,36,0,0,3,1,36,1,0,1,2,0
Luwazi Health Centre,201705,24,25,8,0,1,26,30,13,0,44,8,48,1,0,0,7,50,54,0,0,2,1,54,1,0,0,1,1
Luwazi Health Centre,201706,13,23,5,0,0,18,23,4,0,37,3,37,0,1,0,10,31,38,0,0,1,2,38,1,0,2,0,0
Kavuzi Health Centre,201704,120,65,34,0,6,79,134,90,1,128,42,166,9,1,1,34,185,204,0,0,14,1,204,5,0,1,9,0
Kavuzi Health Centre,201705,51,38,36,0,5,46,74,69,0,56,15,102,5,2,1,20,105,113,0,0,10,2,113,5,0,2,5,0
Kavuzi Health Centre,201706,9,8,41,0,4,25,29,54,0,4,7,48,1,2,0,8,50,56,0,0,2,0,56,1,0,0,1,0
Nkhatabay Private Clinic,201704,15,18,0,0,0,11,22,0,0,33,1,32,0,0,0,20,13,33,0,0,0,0,33,0,0,0,0,0
Nkhatabay Private Clinic,201705,59,17,0,0,0,20,56,0,0,76,47,29,0,0,0,9,67,76,0,0,0,0,76,0,0,0,0,0
Nkhatabay Private Clinic,201706,21,20,0,0,1,16,24,2,0,39,6,34,1,0,0,11,30,39,0,0,2,0,39,1,0,0,1,0
Rumphi District Hospital,201704,605,666,178,35,168,436,810,1020,1,428,272,1142,35,0,0,297,1152,1386,0,0,63,0,1386,28,0,0,35,0
Rumphi District Hospital,201705,717,827,205,27,306,536,880,1194,0,555,425,1279,44,0,1,296,1453,1664,0,0,83,2,1664,39,0,2,44,0
Rumphi District Hospital,201706,511,585,152,29,154,366,699,788,6,454,221,995,32,0,0,235,1013,1182,0,0,64,2,1182,31,1,2,32,0
Livingstonia Mission Hospital,201704,67,17,62,0,2,61,83,130,0,16,14,129,3,0,0,88,58,140,0,0,6,0,140,3,0,0,3,0
Livingstonia Mission Hospital,201705,142,46,117,0,3,119,183,250,0,55,54,245,6,0,0,213,92,293,0,0,11,1,293,5,0,1,6,0
Livingstonia Mission Hospital,201706,90,37,110,0,4,102,131,217,0,20,42,193,2,0,0,147,90,233,0,0,4,0,233,2,0,0,2,0
Bolero Rural Hospital,201704,483,476,113,0,36,492,544,518,0,554,186,866,20,0,0,215,857,1039,0,0,33,0,1039,13,0,0,20,0
Bolero Rural Hospital,201705,330,263,115,0,33,290,385,429,0,279,100,589,19,0,0,249,459,674,0,0,33,1,674,14,0,1,19,0
Bolero Rural Hospital,201706,275,284,88,0,84,283,280,406,0,241,141,494,11,0,1,166,481,624,0,0,21,2,624,10,0,2,11,0
Blm Rumphi,201704,51,38,0,0,0,30,59,0,0,89,7,80,2,0,0,18,71,86,0,0,3,0,86,1,0,0,2,0
Blm Rumphi,201705,51,48,1,0,1,29,70,0,0,100,6,94,0,0,0,36,64,100,0,0,0,0,100,0,0,0,0,0
Blm Rumphi,201706,40,32,3,0,0,17,58,0,0,75,6,66,3,0,0,44,31,69,0,0,6,0,69,3,0,0,3,0
Katowo Health Centre,201704,240,287,71,16,108,169,305,404,1,193,168,413,17,0,0,187,411,563,0,0,32,3,563,15,0,3,17,0
Katowo Health Centre,201705,289,294,70,0,74,267,312,364,3,286,194,448,11,0,0,164,489,632,0,0,20,1,632,9,0,1,11,0
Katowo Health Centre,201706,188,215,59,3,29,177,253,276,6,180,9,439,13,0,1,163,299,435,0,0,26,1,435,13,0,1,13,0
Mhuju Rural Hospital,201704,207,156,55,0,26,191,201,246,0,172,60,344,10,4,0,136,282,398,0,0,20,0,398,10,0,0,10,0
Mhuju Rural Hospital,201705,260,181,71,0,25,218,269,300,0,212,60,436,11,5,0,149,363,491,0,0,21,0,491,10,0,0,11,0
Mhuju Rural Hospital,201706,175,150,58,0,20,169,194,255,0,128,41,339,3,0,0,120,263,377,0,0,6,0,377,3,0,0,3,0
Mzokoto Health Centre,201704,15,82,2,0,3,28,68,9,1,89,7,89,2,0,1,5,94,93,0,0,5,1,93,3,0,1,2,0
Mzokoto Health Centre,201705,25,27,21,0,9,24,40,50,0,23,32,39,2,0,0,27,46,69,0,0,4,0,69,2,0,0,2,0
Mzokoto Health Centre,201706,25,6,21,0,3,23,26,43,0,9,17,33,1,0,1,38,14,50,0,0,1,1,50,0,0,1,1,0
Chitimba Health Centre,201704,42,26,17,0,0,27,58,47,0,38,3,77,5,0,0,36,49,75,0,0,10,0,75,5,0,0,5,0
Chitimba Health Centre,201705,60,32,35,0,4,42,81,86,0,41,17,101,9,0,0,62,65,111,0,0,16,0,111,7,0,0,9,0
Chitimba Health Centre,201706,26,18,14,0,1,25,32,34,0,24,9,46,3,0,0,37,21,52,0,0,6,0,52,3,0,0,3,0
Mwazisi Health Centre,201704,107,138,62,2,9,87,209,237,0,70,31,269,7,0,0,129,178,295,0,0,12,0,295,4,1,0,7,0
Mwazisi Health Centre,201705,98,44,74,0,7,72,137,186,1,29,21,189,6,0,0,14,202,205,0,0,11,0,205,5,0,0,6,0
Mwazisi Health Centre,201706,54,24,46,0,3,48,73,92,0,32,22,98,4,0,0,45,79,118,0,0,6,0,118,2,0,0,4,0
Mlowe Health Centre,201704,10,5,8,0,1,7,15,14,0,9,3,18,2,0,0,10,13,20,0,0,3,0,20,1,0,0,2,0
Mlowe Health Centre,201705,19,5,17,0,0,17,24,34,1,6,10,30,1,0,0,34,7,38,0,0,3,0,38,2,0,0,1,0
Mlowe Health Centre,201706,19,14,15,0,4,25,19,38,0,10,8,38,2,0,0,24,24,44,0,0,4,0,44,2,0,0,2,0
Mphompha Health Centre,201704,30,11,22,0,5,23,35,51,0,12,6,55,2,0,0,50,13,61,0,0,2,0,61,0,0,0,2,0
Mphompha Health Centre,201705,49,23,40,0,4,33,75,78,0,34,22,85,4,0,1,80,32,101,0,0,11,0,101,7,0,0,4,0
Mphompha Health Centre,201706,83,53,31,0,4,66,97,83,0,84,11,150,6,0,0,76,91,153,0,0,14,0,153,8,0,0,6,0
Luwuchi Health Centre,201704,14,8,28,1,1,28,20,31,9,10,15,33,2,0,0,16,34,47,0,0,3,0,47,1,0,0,2,0
Luwuchi Health Centre,201705,17,16,21,0,0,17,37,31,12,11,6,48,0,0,0,28,26,53,0,0,1,0,53,1,0,0,0,0
Luwuchi Health Centre,201706,14,16,12,0,3,12,27,20,7,15,8,32,2,0,0,14,28,37,0,0,4,1,37,2,0,1,2,0
Nthenje Dispensary,201704,31,19,3,1,4,10,38,6,0,47,3,50,0,0,0,5,48,52,0,0,1,0,52,1,0,0,0,0
Nthenje Dispensary,201705,38,27,1,0,5,11,50,6,0,60,1,65,0,0,0,9,57,66,0,0,0,0,66,0,0,0,0,0
Nthenje Dispensary,201706,21,13,5,0,3,8,28,9,0,30,0,39,0,0,0,6,33,38,0,0,1,0,38,1,0,0,0,0
Lura Health Centre,201704,101,64,44,0,7,90,112,129,0,80,60,143,6,0,0,69,140,197,0,0,12,0,197,6,0,0,6,0
Lura Health Centre,201705,139,82,51,1,18,127,126,132,0,140,90,178,4,0,0,87,185,263,0,0,8,1,263,4,0,1,4,0
Lura Health Centre,201706,66,66,34,0,20,66,80,118,2,46,60,103,3,0,0,73,93,160,0,0,6,0,160,3,0,0,3,0
Eva Demaya Centre,201704,41,59,30,0,12,44,74,36,0,94,32,95,3,0,0,12,118,124,0,0,6,0,124,3,0,0,3,0
Eva Demaya Centre,201705,65,71,19,0,10,63,82,28,0,127,36,116,3,0,0,16,139,149,0,0,6,0,149,3,0,0,3,0
Eva Demaya Centre,201706,96,121,20,0,95,98,44,24,0,213,159,77,1,0,0,12,225,235,0,0,2,0,235,1,0,0,1,0
Ng'onga Health Centre,201704,21,16,18,0,3,17,35,37,0,18,9,41,5,0,0,18,37,45,0,0,10,0,45,5,0,0,5,0
Ng'onga Health Centre,201705,24,9,26,0,1,16,42,49,0,10,6,51,2,0,0,39,20,55,0,0,4,0,55,2,0,0,2,0
Ng'onga Health Centre,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mzuzu Central Hospital Rainbow Clinic,201704,786,877,61,34,365,323,1002,1447,1,276,621,1013,87,2,1,134,1590,1583,0,0,140,1,1583,51,2,1,87,0
Mzuzu Central Hospital Rainbow Clinic,201705,739,900,84,47,289,332,1055,1380,0,343,597,1031,93,0,2,181,1542,1567,0,0,154,2,1567,61,0,2,93,0
Mzuzu Central Hospital Rainbow Clinic,201706,524,628,92,7,186,284,767,921,5,318,427,752,65,0,0,126,1118,1131,0,0,111,2,1131,46,0,2,65,0
Ekwendeni Mission Hospital,201704,591,1075,188,0,399,539,916,1817,0,37,497,1306,46,2,3,289,1565,1769,0,1,78,6,1770,29,0,4,49,2
Ekwendeni Mission Hospital,201705,600,1128,227,2,450,608,895,1889,0,66,542,1349,51,11,2,329,1626,1866,0,1,85,3,1867,31,2,1,52,2
Ekwendeni Mission Hospital,201706,312,543,146,0,252,277,472,970,0,31,264,704,26,7,0,206,795,949,0,1,48,3,950,20,0,3,28,0
Macro Mzuzu,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macro Mzuzu,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macro Mzuzu,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
