Data Element Name,Code,Category Name,Data Element ID,Category ID,Attribute ID
OpenLMIS HIV Determine HIV 1/2 rapitt kit quantity received,ST010900-d,default,cdAmmjG9vo4,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Water for injections, 10ml Stock out days",BB077100-c,default,oLKVM0GHTOB,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Dressing, paraffin gauze 9.5cm x 9.5cm (square) Stock on hand",FD300600-a,default,CwsRqYZyCz9,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, crepe 7.5cm x 1.4m long , when stretched quantity received",FF001800-d,default,WF9YKcsG8sx,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS INJ Halothane (fluothane) Quantity used,EE022500-b,default,PJXHP6NBrnX,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Ferrous sulphate 200mg / folic acid 250 micrograms, coated t Stock on hand",AA025200-a,default,NIO1ikSeLWA,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS X-RAY film, screen type, monochromatic 24cm x 30cm Stock out days",FD654700-c,default,JWY9j6hKP59,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Lopinavir/Ritonavir 100mg/25mg (9P) quantity received,GF0076-d,default,LGq4GXWryDy,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Plaster, extension 7.5cm x 5m long, when stretched Quantity used",FF015300-b,default,Baz6USZmzue,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Cannula iv (winged with injection pot) 24 Stock on hand,FD405000-a,default,dD0Q2dAi0Wr,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Lignocaine hydrochloride 1%, 25ml Stock on hand",BB046800-a,default,Lu5hRAXf6Fq,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Ibuprofen 200mg Tabs Stock out days,GF0555-c,default,simT3lDBWRz,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Chloramphenicol ear drops 5%, 5ml Stock out days",EE010200-c,default,rvngEj5RfC1,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Zinc sulphate 20mg Tablets quantity received,DN001500-d,default,oduskKrwVVi,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS MAL Artesunate 100mg+Amodiaquine 270mg 6tablets/blister Stock on hand,GF0563-a,default,Zvn0Y8UJUB7,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS DENT Lignocaine 2% Adrenaline 1/80,000 cartridge 1.8ml Quantity used",PP046500-b,default,vvNpewKVJNQ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Tetracycline eye ointment 1%, 3.5g Stock out days",EE048300-c,default,vTdJGgA6jpI,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Chlorpromazine 25mg quantity received,FD003900-d,default,xDeYTXrPpDV,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Codeine Phosphate 30 mg tablets Stock out days,FD002800-c,default,LYqP2uHQFjG,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Gentamicin 40mg/ml, 2ml Quantity used",ST009700-b,default,aaiC2AZProD,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Sharps disposal receptor(Cardboard) Stock out days,HH130800-c,default,IzkZEXUAJde,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Promethazine hydrochloride 25mg/ml, 2ml quantity received",BB066900-d,default,c8PhiH59zJr,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Apron, disposable, polythene quantity received",FD408400-d,default,Cg656p9FHz6,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Folic acid 5mg quantity received,FD001500-d,default,hgMajoXalYp,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Salicylic acid 5% + sulphur 5% ointment (in EO base),500g Quantity used",EE042900-b,default,jy5QsJ9J9vt,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS DENT Rolls, cotton dental Stock out days",PP083700-c,default,QlC6mF7HT24,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Podophyllum paint 10% in compound benzoin tincture, 20ml Quantity used",EE036600-b,default,UEvM5tHz1GH,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Acyclovir 200mg, tablets Stock out days",AA000901-c,default,dgai72I8ZZZ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, crepe 7.5cm x 1.4m long , when stretched Stock on hand",FF001800-a,default,DSJ7jTfBFat,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS RHD Copper containing IUCD (Copper T®) Stock out days,FP002400-c,default,qRhd6d2Ir0s,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, plaster of paris 5cm X 2.7m long, when stretched Quantity used",FF003900-b,default,nxPlwjV02o0,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Cannula iv (winged with injection pot) 22 Stock out days,FD404900-c,default,BbmDDbf7UbD,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Catheter Foley's retention 30cc FG 14 Stock on hand,HH027000-a,default,Rn2k1shCufG,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Povidone iodine 10% in alcoholic solution, 500ml Quantity used",EE038100-b,default,puNH27UHkl2,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Salicylic acid 10% ointment (in YSP), 500g Stock out days",EE041400-c,default,dANIUtOTbjx,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, plaster of paris 10cm X 2.7m long , when stretched quantity received",FF003000-d,default,wBUeGQG0hVc,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Glove disposable powdered latex medium Quantity used,HH077700-b,default,uy36Grbh3Lw,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUT Vicryl 2, ½ circle round bodied heavy 12's quantity received",FD355300-d,default,vXLAh6JfjrU,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Gauze, swabs 8-ply 10cm x 10cm Stock out days",FD300900-c,default,k3RDeR9kdZc,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Amoxycillin w/ Clavulanic Acid, 250/62.5/5ml quantity received",GF0242-d,default,YqFn3PtQJJM,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Chloramphenicol 125mg/5ml , PFR,100ml quantity received",FD250100-d,default,xvNaVz0yr80,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Scalpel blade size 24 (individually wrapped),Carbon steel Stock on hand",HH125100-a,default,iCsqYLWRrKq,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS MAL Quinine sulphate 300mg Stock out days,FD006700-c,default,oOab9x4HC2g,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Mask face disposable paper 2-ply quantity received,HH102300-d,default,paVRzNVarIe,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Unigold HIV Test Kits quantity received,GF0090-d,default,XpUCt18EtJM,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Glove disposable powdered latex medium Stock on hand,HH077700-a,default,xUsRnzOEFTp,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS RHD Oral Contraceptive tablets – progestogen only (e.g. Ovrette® Stock on hand,FP000600-a,default,seHwwgQJR7r,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Azithromycin 500mg quantity received,ST011800-d,default,UJxFSiOVpMT,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS HIV Tenofovir (TDF) + Lamivudine (3TC) + Efavirenz (EFV), 300+30 (5A) Stock out days",GF0221-c,default,EiXpZWeNSDl,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUT Vicryl 2 round bodied needle 1/2 circle Quantity used,FD353500-b,default,inNcyejiRic,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS HIV Stavudine (d4T) + Lamivudine (3TC), 6mg +30mg (3P) Stock on hand",GF0231-a,default,ohbas52gMm5,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS X-RAY film, screen type, monochromatic 18cm x 24cm Stock on hand",FD654600-a,default,oHLbDOQZvch,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS MAL Lumefantrine 120mg/Artemether 20mg, 30x24, tablets quantity received",AA040500-d,default,FbP8uGLjazE,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Lignocaine hydrochloride 1%, 25ml quantity received",BB046800-d,default,mGE9BOMNhR5,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Isoniazid 300mg Stock on hand,TB000900-a,default,NAOCg2sNqPt,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Clotrimazole cream 1%, 20g Stock out days",EE012900-c,default,zJj9JsDoOzr,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS GAL Cetrimide 15% + chlorhexidine 1.5% solution.for dilution Stock on hand,FD252200-a,default,ScBqSfQHY0x,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Chlorhexidine 1.5% solution, 5ml Quantity used",EE010800-b,default,IYk8Dihqoqa,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR Cotton wool 500g quantity received,SM024200-d,default,tgLr5uC7r1D,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Dressing, paraffin gauze 9.5cm x 9.5cm (square) Stock out days",FD300600-c,default,NEPYnIlyCSY,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Plaster, zinc oxide 10cm x 5m long, when stretched quantity received",FF015600-d,default,tPoDsWqtBZG,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Scalpel blade size 15 (individually wrapped),Carbon steel Stock out days",HH123600-c,default,aGtFy4PnX8J,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Dextrose 50%, 50ml Quantity used",BB022800-b,default,TuGqQkaMabZ,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Rifampicin 150mg/isoniazid 75mg Quantity used,TB001300-b,default,u1ItA4aQIkA,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS GAL Erythromycin oral suspension Stock on hand,ST011900-a,default,IaRN6CDPpEb,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, crepe 10cm 1.4m long, when stretched Stock on hand",FF000900-a,default,ia8cE7aZmzh,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS DENT Masks, face, fluid resistant shield Stock out days",PP048300-c,default,hu7Wv8ORaKs,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Efavirenz 200mg Tabs (3P) Stock on hand,GF0074-a,default,Fb4obh8Ta0q,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS MAL Quinine dihydrochloride 300mg/ml, 2ml Stock out days",BB067500-c,default,d0VgvruFagJ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS DENT Hydrogen peroxide, 20 vol. Stock out days",FD702900-c,default,BP7AudJXo70,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS RHD Cyclebeads quantity received,FP0041-d,default,SCpTfm7eSN0,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS RHD Oxytocin 10 IU/ml, 1ml Stock out days",BB059400-c,default,vjDrcOmIqcv,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS GAL Bismuth subgallate compound suppositories Quantity used,EE007500-b,default,NWGJaIqbarO,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS HIV Stavudine (d4T) + Lamivudine (3TC), 30mg+150mg (3A) quantity received",GF0223-d,default,InZ4F1XSJOt,Tt7fU5lUhAU,Tt7fU5lUhAU
